ask	a0	a1	a2	a3	a4	a5	a6	a7	a8	a9	bid	b0	b1	b2	b3	b4	b5	b6	b7	b8	b9
58797.58005	58760.75	58753.26	58730.26	58747.67	58763.96	58788.49	58821.06	58828.17	58831.58	58835.3	58627.13	58592.4	58580.5	58617.29168	58613.36807	58621.3025	58648.434	58673.22244	58676.53526	58674.55874	58675.29	
58795.31	58753.26	58730.26	58747.67	58763.96	58788.49	58821.06	58828.17	58831.58	58835.3	58881.34	58621.1	58580.5	58617.29168	58613.36807	58621.3025	58648.434	58673.22244	58676.53526	58674.55874	58675.29	58706.8445	
58791.2041	58730.26	58747.67	58763.96	58788.49	58821.06	58828.17	58831.58	58835.3	58881.34	58889.12046	58616.89	58617.29168	58613.36807	58621.3025	58648.434	58673.22244	58676.53526	58674.55874	58675.29	58706.8445	58725.34	
58771.73599	58747.67	58763.96	58788.49	58821.06	58828.17	58831.58	58835.3	58881.34	58889.12046	58893.63	58592.19699	58613.36807	58621.3025	58648.434	58673.22244	58676.53526	58674.55874	58675.29	58706.8445	58725.34	58726.99	
58748.1751	58763.96	58788.49	58821.06	58828.17	58831.58	58835.3	58881.34	58889.12046	58893.63	58881.3046	58573.58	58621.3025	58648.434	58673.22244	58676.53526	58674.55874	58675.29	58706.8445	58725.34	58726.99	58715.15	
58756.09	58788.49	58821.06	58828.17	58831.58	58835.3	58881.34	58889.12046	58893.63	58881.3046	58881.20293	58579.23	58648.434	58673.22244	58676.53526	58674.55874	58675.29	58706.8445	58725.34	58726.99	58715.15	58716.16	
58732.88	58821.06	58828.17	58831.58	58835.3	58881.34	58889.12046	58893.63	58881.3046	58881.20293	58887.04156	58556.12	58673.22244	58676.53526	58674.55874	58675.29	58706.8445	58725.34	58726.99	58715.15	58716.16	58723.54	
58735.62906	58828.17	58831.58	58835.3	58881.34	58889.12046	58893.63	58881.3046	58881.20293	58887.04156	58883.1859	58568.72	58676.53526	58674.55874	58675.29	58706.8445	58725.34	58726.99	58715.15	58716.16	58723.54	58715.58	
58721.8638	58831.58	58835.3	58881.34	58889.12046	58893.63	58881.3046	58881.20293	58887.04156	58883.1859	58890.49994	58549.48	58674.55874	58675.29	58706.8445	58725.34	58726.99	58715.15	58716.16	58723.54	58715.58	58717.25	
58706.44	58835.3	58881.34	58889.12046	58893.63	58881.3046	58881.20293	58887.04156	58883.1859	58890.49994	58886.77888	58538.43	58675.29	58706.8445	58725.34	58726.99	58715.15	58716.16	58723.54	58715.58	58717.25	58715.25	
58720.03	58881.34	58889.12046	58893.63	58881.3046	58881.20293	58887.04156	58883.1859	58890.49994	58886.77888	58866.34674	58543.5684	58706.8445	58725.34	58726.99	58715.15	58716.16	58723.54	58715.58	58717.25	58715.25	58697.25	
58730.62	58889.12046	58893.63	58881.3046	58881.20293	58887.04156	58883.1859	58890.49994	58886.77888	58866.34674	58850.18	58557.68	58725.34	58726.99	58715.15	58716.16	58723.54	58715.58	58717.25	58715.25	58697.25	58682.31223	
58753.10244	58893.63	58881.3046	58881.20293	58887.04156	58883.1859	58890.49994	58886.77888	58866.34674	58850.18	58845.1	58575.36776	58726.99	58715.15	58716.16	58723.54	58715.58	58717.25	58715.25	58697.25	58682.31223	58679.00044	
