ask,a0,a1,a2,a3,a4,a5,a6,a7,a8,a9,bid,b0,b1,b2,b3,b4,b5,b6,b7,b8,b9,ask_pade,bid_pade
48997.78,48989.95,48989.89,48991.51,48989.9,48988.67,48990.37,48991.82003,48996.58,48996.58,48995.59,48700.77608,48690.59444,48691.08679,48691.08679,48690.63182,48690.63182,48690.58265,48693.69,48700.17,48700.2,48700.67,658.7510728052943,589.4159566061562,
48997.61,48989.89,48991.51,48989.9,48988.67,48990.37,48991.82003,48996.58,48996.58,48995.59,48998.01,48700.77608,48691.08679,48691.08679,48690.63182,48690.63182,48690.58265,48693.69,48700.17,48700.2,48700.67,48701.38,654.4844040241387,480.80658042637685,
49000.77991,48991.51,48989.9,48988.67,48990.37,48991.82003,48996.58,48996.58,48995.59,48998.01,48997.98158,48703.74,48691.08679,48690.63182,48690.63182,48690.58265,48693.69,48700.17,48700.2,48700.67,48701.38,48701.42,166.69841752143927,589.7201315524135,
49000.54915,48989.9,48988.67,48990.37,48991.82003,48996.58,48996.58,48995.59,48998.01,48997.98158,48991.81746,48704.37,48690.63182,48690.63182,48690.58265,48693.69,48700.17,48700.2,48700.67,48701.38,48701.42,48701.37,628.2730104308423,324.1152459586356,
49000.54915,48988.67,48990.37,48991.82003,48996.58,48996.58,48995.59,48998.01,48997.98158,48991.81746,48991.81746,48704.37,48690.63182,48690.58265,48693.69,48700.17,48700.2,48700.67,48701.38,48701.42,48701.37,48692.93,639.0645626642166,652.3029364664491,
49003.61,48990.37,48991.82003,48996.58,48996.58,48995.59,48998.01,48997.98158,48991.81746,48991.81746,48993.07898,48765.91761,48690.58265,48693.69,48700.17,48700.2,48700.67,48701.38,48701.42,48701.37,48692.93,48694.53,173.46964166640774,340.425578122512,
49069.34254,48991.82003,48996.58,48996.58,48995.59,48998.01,48997.98158,48991.81746,48991.81746,48993.07898,48992.24,48766.09,48693.69,48700.17,48700.2,48700.67,48701.38,48701.42,48701.37,48692.93,48694.53,48692.09789,734.1559544590422,362.95820180816736,
49057.04202,48996.58,48996.58,48995.59,48998.01,48997.98158,48991.81746,48991.81746,48993.07898,48992.24,48992.14704,48763.73832,48700.17,48700.2,48700.67,48701.38,48701.42,48701.37,48692.93,48694.53,48692.09789,48692.09789,312.09929929402017,521.3160491468906,
49057.04202,48996.58,48995.59,48998.01,48997.98158,48991.81746,48991.81746,48993.07898,48992.24,48992.14704,48992.14704,48754.5,48700.2,48700.67,48701.38,48701.42,48701.37,48692.93,48694.53,48692.09789,48692.09789,48696.62,632.4765659631687,666.9942828404551,
49048.71,48995.59,48998.01,48997.98158,48991.81746,48991.81746,48993.07898,48992.24,48992.14704,48992.14704,48996.31062,48754.79,48700.67,48701.38,48701.42,48701.37,48692.93,48694.53,48692.09789,48692.09789,48696.62,48697.7,470.12395856408983,296.5270097830828,
49035.12,48998.01,48997.98158,48991.81746,48991.81746,48993.07898,48992.24,48992.14704,48992.14704,48996.31062,48996.31062,48750.28172,48701.38,48701.42,48701.37,48692.93,48694.53,48692.09789,48692.09789,48696.62,48697.7,48700.96,202.13698919943477,460.797843628936,
49044.92,48997.98158,48991.81746,48991.81746,48993.07898,48992.24,48992.14704,48992.14704,48996.31062,48996.31062,48997.74871,48756.34,48701.42,48701.37,48692.93,48694.53,48692.09789,48692.09789,48696.62,48697.7,48700.96,48700.88,403.9030557260337,110.76890657724816,
49048.39263,48991.81746,48991.81746,48993.07898,48992.24,48992.14704,48992.14704,48996.31062,48996.31062,48997.74871,48996.27412,48762.07,48701.37,48692.93,48694.53,48692.09789,48692.09789,48696.62,48697.7,48700.96,48700.88,48698.18,255.7192532202293,416.59284900966634,
49049.18,48991.81746,48993.07898,48992.24,48992.14704,48992.14704,48996.31062,48996.31062,48997.74871,48996.27412,48996.27412,48761.55,48692.93,48694.53,48692.09789,48692.09789,48696.62,48697.7,48700.96,48700.88,48698.18,48701.56,45.44783778826346,84.69182009529395,
49054.8,48993.07898,48992.24,48992.14704,48992.14704,48996.31062,48996.31062,48997.74871,48996.27412,48996.27412,48994.49,48764.09475,48694.53,48692.09789,48692.09789,48696.62,48697.7,48700.96,48700.88,48698.18,48701.56,48698.85,183.57136589295018,41.2773943915644,
49059.44,48992.24,48992.14704,48992.14704,48996.31062,48996.31062,48997.74871,48996.27412,48996.27412,48994.49,48993.08,48767.91952,48692.09789,48692.09789,48696.62,48697.7,48700.96,48700.88,48698.18,48701.56,48698.85,48698.85,199.08832844646528,10.433358137094215,
49057.85,48992.14704,48992.14704,48996.31062,48996.31062,48997.74871,48996.27412,48996.27412,48994.49,48993.08,48997.10036,48767.91952,48692.09789,48696.62,48697.7,48700.96,48700.88,48698.18,48701.56,48698.85,48698.85,48697.32824,227.9930731785646,131.12706290298595,
49053.31,48992.14704,48996.31062,48996.31062,48997.74871,48996.27412,48996.27412,48994.49,48993.08,48997.10036,48997.10036,48764.46042,48696.62,48697.7,48700.96,48700.88,48698.18,48701.56,48698.85,48698.85,48697.32824,48697.85401,71.91721602375105,100.69897933402336,
49061.81,48996.31062,48996.31062,48997.74871,48996.27412,48996.27412,48994.49,48993.08,48997.10036,48997.10036,48997.51,48770.80803,48697.7,48700.96,48700.88,48698.18,48701.56,48698.85,48698.85,48697.32824,48697.85401,48699.09416,190.15233347800563,54.0532483236276,
49061.81,48996.31062,48997.74871,48996.27412,48996.27412,48994.49,48993.08,48997.10036,48997.10036,48997.51,48997.5,48770.80803,48700.96,48700.88,48698.18,48701.56,48698.85,48698.85,48697.32824,48697.85401,48699.09416,48699.09416,96.74044488796793,186.60512626897926,
49082.36,48997.74871,48996.27412,48996.27412,48994.49,48993.08,48997.10036,48997.10036,48997.51,48997.5,48997.78,48791.19115,48700.88,48698.18,48701.56,48698.85,48698.85,48697.32824,48697.85401,48699.09416,48699.09416,48700.77608,183.18847958780086,173.2196559802648,
49108.9,48996.27412,48996.27412,48994.49,48993.08,48997.10036,48997.10036,48997.51,48997.5,48997.78,48997.61,48813.15948,48698.18,48701.56,48698.85,48698.85,48697.32824,48697.85401,48699.09416,48699.09416,48700.77608,48700.77608,298.8038850314927,238.78740963070385,
49108.71,48996.27412,48994.49,48993.08,48997.10036,48997.10036,48997.51,48997.5,48997.78,48997.61,49000.77991,48814.05977,48701.56,48698.85,48698.85,48697.32824,48697.85401,48699.09416,48699.09416,48700.77608,48700.77608,48703.74,87.05606724891216,295.73719302052206,
49107.65,48994.49,48993.08,48997.10036,48997.10036,48997.51,48997.5,48997.78,48997.61,49000.77991,49000.54915,48801.61493,48698.85,48698.85,48697.32824,48697.85401,48699.09416,48699.09416,48700.77608,48700.77608,48703.74,48704.37,233.07454103174896,252.09070536198985,
49097.09,48993.08,48997.10036,48997.10036,48997.51,48997.5,48997.78,48997.61,49000.77991,49000.54915,49000.54915,48801.61493,48698.85,48697.32824,48697.85401,48699.09416,48699.09416,48700.77608,48700.77608,48703.74,48704.37,48704.37,200.9104075830928,2049.4026463896803,
49096.06,48997.10036,48997.10036,48997.51,48997.5,48997.78,48997.61,49000.77991,49000.54915,49000.54915,49003.61,48809.30584,48697.32824,48697.85401,48699.09416,48699.09416,48700.77608,48700.77608,48703.74,48704.37,48704.37,48765.91761,2331.5128023262932,1087.7969346921736,
49098.04,48997.10036,48997.51,48997.5,48997.78,48997.61,49000.77991,49000.54915,49000.54915,49003.61,49069.34254,48807.5791,48697.85401,48699.09416,48699.09416,48700.77608,48700.77608,48703.74,48704.37,48704.37,48765.91761,48766.09,685.4672877581448,958.9347664043577,
49098.72,48997.51,48997.5,48997.78,48997.61,49000.77991,49000.54915,49000.54915,49003.61,49069.34254,49057.04202,48793.56,48699.09416,48699.09416,48700.77608,48700.77608,48703.74,48704.37,48704.37,48765.91761,48766.09,48763.73832,819.4786509914769,859.8073820464253,
49097.18,48997.5,48997.78,48997.61,49000.77991,49000.54915,49000.54915,49003.61,49069.34254,49057.04202,49057.04202,48807.5791,48699.09416,48700.77608,48700.77608,48703.74,48704.37,48704.37,48765.91761,48766.09,48763.73832,48754.5,759.3413666686777,959.2298349487119,
49089.48,48997.78,48997.61,49000.77991,49000.54915,49000.54915,49003.61,49069.34254,49057.04202,49057.04202,49048.71,48799.11149,48700.77608,48700.77608,48703.74,48704.37,48704.37,48765.91761,48766.09,48763.73832,48754.5,48754.79,659.6512493016329,600.9530771448718,
